Date,Fatalities,Aboard,Ground
21 Apr 1945,21,21,0
23 Apr 1945,31,31,0
27 Apr 1945,6,13,0
05 May 1945,21,21,0
06 May 1945,30,30,1
09 May 1945,31,31,0
13 May 1945,20,23,0
30 May 1945,21,21,0
15 Jun 1945,3,3,0
24 Jun 1945,2,11,0
25 Jun 1945,27,27,0
29 Jun 1945,2,2,36
30 Jun 1945,12,12,0
04 Jul 1945,15,15,0
11 Jul 1945,28,28,0
12 Jul 1945,3,10,0
28 Jul 1945,3,3,11
01 Aug 1945,12,12,0
03 Aug 1945,4,14,0
11 Aug 1945,16,16,0
07 Sep 1945,22,22,0
11 Sep 1945,11,11,0
15 Sep 1945,23,24,0
18 Sep 1945,29,29,0
28 Sep 1945,20,20,0
05 Oct 1945,2,15,0
05 Oct 1945,23,23,0
07 Oct 1945,26,26,0
13 Oct 1945,31,31,0
16 Oct 1945,59,59,0
20 Oct 1945,31,31,0
20 Oct 1945,25,25,0
23 Oct 1945,14,14,0
24 Oct 1945,5,5,0
24 Oct 1945,9,16,0
30 Oct 1945,45,50,0
01 Nov 1945,26,30,0
03 Nov 1945,44,44,0
07 Nov 1945,1,3,0
08 Nov 1945,22,27,0
09 Nov 1945,24,24,0
11 Nov 1945,20,20,0
11 Nov 1945,44,44,0
11 Nov 1945,29,29,0
13 Nov 1945,16,17,0
15 Nov 1945,28,28,0
22 Nov 1945,27,27,0
03 Dec 1945,28,28,0
05 Dec 1945,14,14,0
05 Dec 1945,13,13,0
08 Dec 1945,17,21,0
18 Dec 1945,17,17,0
25 Dec 1945,8,8,0
25 Dec 1945,10,10,0
30 Dec 1945,1,12,0
06 Jan 1946,3,11,0
09 Jan 1946,18,18,0
14 Jan 1946,22,22,0
15 Jan 1946,23,25,0
18 Jan 1946,17,17,0
19 Jan 1946,7,7,0
30 Jan 1946,11,11,0
31 Jan 1946,21,21,0
05 Feb 1946,20,20,0
21 Feb 1946,1,14,0
03 Mar 1946,27,27,0
05 Mar 1946,12,15,0
10 Mar 1946,25,25,0
17 Mar 1946,20,20,0
18 Mar 1946,0,0,0
19 Mar 1946,26,26,0
23 Mar 1946,10,10,0
01 Apr 1946,6,6,0
05 Apr 1946,4,4,16
08 Apr 1946,14,14,0
22 Apr 1946,20,21,0
30 Apr 1946,12,12,0
10 May 1946,28,28,0
16 May 1946,27,27,0
22 May 1946,13,14,0
01 Jun 1946,30,38,0
09 Jun 1946,23,23,0
09 Jun 1946,18,18,0
29 Jun 1946,18,18,0
29 Jun 1946,2,3,0
09 Jul 1946,25,25,0
11 Jul 1946,5,6,0
13 Jul 1946,13,49,0
17 Jul 1946,30,30,0
18 Jul 1946,13,13,0
20 Jul 1946,20,20,0
25 Jul 1946,22,22,0
26 Jul 1946,9,9,0
07 Aug 1946,3,16,0
09 Aug 1946,4,6,0
14 Aug 1946,1,5,0
20 Aug 1946,8,9,0
21 Aug 1946,2,25,0
24 Aug 1946,6,9,0
31 Aug 1946,7,7,0
03 Sep 1946,22,22,0
04 Sep 1946,20,26,1
05 Sep 1946,21,22,0
07 Sep 1946,24,24,0
07 Sep 1946,4,4,0
15 Sep 1946,21,21,0
17 Sep 1946,1,7,0
18 Sep 1946,27,44,0
19 Sep 1946,25,25,0
20 Sep 1946,28,28,0
25 Sep 1946,19,19,0
27 Sep 1946,7,7,0
27 Sep 1946,25,25,0
03 Oct 1946,39,39,0
06 Oct 1946,21,21,0
07 Oct 1946,1,1,22
08 Oct 1946,2,41,0
10 Oct 1946,16,16,0
17 Oct 1946,13,13,0
17 Oct 1946,11,11,0
23 Oct 1946,1,24,0
01 Nov 1946,23,27,0
05 Nov 1946,13,26,0
11 Nov 1946,2,20,0
13 Nov 1946,11,11,0
13 Nov 1946,15,15,0
14 Nov 1946,26,26,0
16 Nov 1946,23,23,0
26 Nov 1946,22,22,0
30 Nov 1946,5,18,0
04 Dec 1946,24,24,0
10 Dec 1946,24,24,0
10 Dec 1946,32,32,0
14 Dec 1946,12,14,0
17 Dec 1946,7,7,0
23 Dec 1946,21,21,0
24 Dec 1946,12,12,0
25 Dec 1946,13,34,3
25 Dec 1946,20,30,0
25 Dec 1946,11,11,5
28 Dec 1946,2,2,0
28 Dec 1946,13,23,0
28 Dec 1946,2,21,0
03 Jan 1947,11,14,0
05 Jan 1947,43,43,0
05 Jan 1947,3,23,0
11 Jan 1947,8,16,0
